First aired,Title,Episode
"Guest stars: Alfred Burke as Kevin, Daphne Anderson as Katie, George Layton as Des, Oscar James as Dave, W. Morgan Sheppard as John, Eric Mason as Paddy.","Guest stars: Alfred Burke as Kevin, Daphne Anderson as Katie, George Layton as Des, Oscar James as Dave, W. Morgan Sheppard as John, Eric Mason as Paddy.","Guest stars: Alfred Burke as Kevin, Daphne Anderson as Katie, George Layton as Des, Oscar James as Dave, W. Morgan Sheppard as John, Eric Mason as Paddy."
"Arthur falls heavily for Sharon, a glamorous would-be nightclub singer and offers to manage her career, despite her terrible voice. Chris, the club owner, who's been paid by Arthur to help launch her career with massive publicity, fails to come good.","Arthur falls heavily for Sharon, a glamorous would-be nightclub singer and offers to manage her career, despite her terrible voice. Chris, the club owner, who's been paid by Arthur to help launch her career with massive publicity, fails to come good.","Arthur falls heavily for Sharon, a glamorous would-be nightclub singer and offers to manage her career, despite her terrible voice. Chris, the club owner, who's been paid by Arthur to help launch her career with massive publicity, fails to come good."
17 December 1979,"""Come in T64, Your Time is Ticking Away""",8
12 November 1979,"""The Smaller They Are""",3
10 December 1979,"""The Bengal Tiger""",7
29 October 1979,"""Gunfight at the OK Laundrette""",1
"Terry and Arthur are drawn into the problems of newspaper shop owner Mr. Mukerjee, whose daughter Indira has been promised in arranged marriages to several older wealthy Indian businessmen in return for dowry payments.","Terry and Arthur are drawn into the problems of newspaper shop owner Mr. Mukerjee, whose daughter Indira has been promised in arranged marriages to several older wealthy Indian businessmen in return for dowry payments.","Terry and Arthur are drawn into the problems of newspaper shop owner Mr. Mukerjee, whose daughter Indira has been promised in arranged marriages to several older wealthy Indian businessmen in return for dowry payments."
"Guest stars: Sheila White as Sharon Nightingale, Peter Blake as Barry, Eric Deacon as Chris Lambert, Brian Croucher as Big John, Anthony Heaton as Vic Piner, Tommy Wright as Henry Piner, Michael Melia as Freddie.","Guest stars: Sheila White as Sharon Nightingale, Peter Blake as Barry, Eric Deacon as Chris Lambert, Brian Croucher as Big John, Anthony Heaton as Vic Piner, Tommy Wright as Henry Piner, Michael Melia as Freddie.","Guest stars: Sheila White as Sharon Nightingale, Peter Blake as Barry, Eric Deacon as Chris Lambert, Brian Croucher as Big John, Anthony Heaton as Vic Piner, Tommy Wright as Henry Piner, Michael Melia as Freddie."
"Guest stars: Phil McCall as Scotch Harry, David Jackson as Big Stan, George Tovey as Pub Landlord, Hilary Ryan as Airline Receptionist.","Guest stars: Phil McCall as Scotch Harry, David Jackson as Big Stan, George Tovey as Pub Landlord, Hilary Ryan as Airline Receptionist.","Guest stars: Phil McCall as Scotch Harry, David Jackson as Big Stan, George Tovey as Pub Landlord, Hilary Ryan as Airline Receptionist."
14 January 1980,"""The Dessert Song""",10
"Guest stars: George Baker as Altman, Roy Kinnear as 'Big Kev' Whaley, David Buck as Billy, Deborah Grant as Lady Ingrave, Brian Hall as Alan, Allan Surtees as D.I.","Guest stars: George Baker as Altman, Roy Kinnear as 'Big Kev' Whaley, David Buck as Billy, Deborah Grant as Lady Ingrave, Brian Hall as Alan, Allan Surtees as D.I.","Guest stars: George Baker as Altman, Roy Kinnear as 'Big Kev' Whaley, David Buck as Billy, Deborah Grant as Lady Ingrave, Brian Hall as Alan, Allan Surtees as D.I."
"Guest stars: Anthony Valentine as Maurice, Marina Sirtis as Stella, Kevork Malikyan as Chris, David Baron as Casino Manager.","Guest stars: Anthony Valentine as Maurice, Marina Sirtis as Stella, Kevork Malikyan as Chris, David Baron as Casino Manager.","Guest stars: Anthony Valentine as Maurice, Marina Sirtis as Stella, Kevork Malikyan as Chris, David Baron as Casino Manager."
26 November 1979,"""The Bounty Hunter""",5
"'Pretty Billy' Gilpin turns up at Arthur's home, badly injured, and begging for assistance. Terry drives him to where he wants to go, but Billy is later found drowned.","'Pretty Billy' Gilpin turns up at Arthur's home, badly injured, and begging for assistance. Terry drives him to where he wants to go, but Billy is later found drowned.","'Pretty Billy' Gilpin turns up at Arthur's home, badly injured, and begging for assistance. Terry drives him to where he wants to go, but Billy is later found drowned."
"Guest stars: Saeed Jaffrey as Mukerjee, Graham Stark as Car owner, Ahmed Khalil as Aslam, Roy Evans as Elderly Man, Eamonn Boyce as Barman, Clive Hornby as Norman Gibbons, Mike Grady as Kev, Shireen Anwar as Indira.","Guest stars: Saeed Jaffrey as Mukerjee, Graham Stark as Car owner, Ahmed Khalil as Aslam, Roy Evans as Elderly Man, Eamonn Boyce as Barman, Clive Hornby as Norman Gibbons, Mike Grady as Kev, Shireen Anwar as Indira.","Guest stars: Saeed Jaffrey as Mukerjee, Graham Stark as Car owner, Ahmed Khalil as Aslam, Roy Evans as Elderly Man, Eamonn Boyce as Barman, Clive Hornby as Norman Gibbons, Mike Grady as Kev, Shireen Anwar as Indira."
"Guest stars: Peter Bland as Charlie, Diane Keen as Christina Kostos, Daniel Hill as Johnny, Godfrey James as Omar, Michael Angelis as Nick.","Guest stars: Peter Bland as Charlie, Diane Keen as Christina Kostos, Daniel Hill as Johnny, Godfrey James as Omar, Michael Angelis as Nick.","Guest stars: Peter Bland as Charlie, Diane Keen as Christina Kostos, Daniel Hill as Johnny, Godfrey James as Omar, Michael Angelis as Nick."
7 January 1980,"""Monday Night Fever""",9
Terry is persuaded to go undercover as a driver (in a clapped-out Austin A60 Cambridge) to find out who's sabotaging the minicab firm Arthur co-owns.,Terry is persuaded to go undercover as a driver (in a clapped-out Austin A60 Cambridge) to find out who's sabotaging the minicab firm Arthur co-owns.,Terry is persuaded to go undercover as a driver (in a clapped-out Austin A60 Cambridge) to find out who's sabotaging the minicab firm Arthur co-owns.
"Terry and Arthur help a young widow who's been swindled out of her life savings in a Majorcan property scheme run by Freddie Fenton, a crooked businessman.","Terry and Arthur help a young widow who's been swindled out of her life savings in a Majorcan property scheme run by Freddie Fenton, a crooked businessman.","Terry and Arthur help a young widow who's been swindled out of her life savings in a Majorcan property scheme run by Freddie Fenton, a crooked businessman."
"Scotch Harry, a sneak thief, grabs a suitcase full of cash, but it proves to be counterfeit and he's out of his depth, tangling with international currency smugglers who don’t baulk at violence.","Scotch Harry, a sneak thief, grabs a suitcase full of cash, but it proves to be counterfeit and he's out of his depth, tangling with international currency smugglers who don’t baulk at violence.","Scotch Harry, a sneak thief, grabs a suitcase full of cash, but it proves to be counterfeit and he's out of his depth, tangling with international currency smugglers who don’t baulk at violence."
"Guest stars: Derek Jacobi as Freddie Fenton, June Ritchie as Jo Williams, George Layton as Des, James Aubrey as Graham Hurst, Tony Steedman as Ralph Hurst, Christopher Biggins as Harold, Keith Alexander as Andy.","Guest stars: Derek Jacobi as Freddie Fenton, June Ritchie as Jo Williams, George Layton as Des, James Aubrey as Graham Hurst, Tony Steedman as Ralph Hurst, Christopher Biggins as Harold, Keith Alexander as Andy.","Guest stars: Derek Jacobi as Freddie Fenton, June Ritchie as Jo Williams, George Layton as Des, James Aubrey as Graham Hurst, Tony Steedman as Ralph Hurst, Christopher Biggins as Harold, Keith Alexander as Andy."
3 December 1979,"""Aces High – and Sometimes Very Low""",6
21 January 1980,"""You Gotta Have Friends""",11
